Pasal,Isi Pasal
Pasal 23,1 selenggara jalan laksana preservasi jalan tingkat kapasitas jalan wajib jaga aman selamat tertib lancar lalu-lintas angkut jalan 2 selenggara jalan laksana giat maksud ayat 1 koordinasi instansi tanggung bidang sarana prasarana lalu-lintas angkut jalan polisi negara republik indonesia
Pasal 24,1 selenggara jalan wajib patut jalan rusak akibat celaka lalu-lintas 2 laku jalan rusak maksud ayat 1 selenggara jalan wajib tanda rambu jalan rusak cegah celaka lalu-lintas
Pasal 25,1 jalan lalu-lintas wajib lengkap lengkap jalan upa a rambu lalu-lintas b marka jalan c alat isyarat lalu-lintas d alat terang jalan e alat kendali kam jalan f alat awas aman jalan g fasilitas sepeda pejal kaki sandang cacat h fasilitas dukung giat lalu-lintas angkut jalan jalan badan jalan 2 kena lengkap jalan maksud ayat 1 atur atur perintah
Pasal 26,1 sedia lengkap jalan maksud pasal 25 ayat 1 selenggara a perintah jalan nasional b perintah provinsi jalan provinsi c perintah kabupaten kota jalan kabupaten kota jalan desa d badan usaha jalan tol jalan tol 2 sedia lengkap jalan maksud ayat 1 laksana sesuai atur undang
Pasal 27,1 lengkap jalan jalan lingkung sesuai kapasitas intensitas volume lalu-lintas 2 kena pasang lengkap jalan jalan lingkung atur atur daerah
Pasal 28,1 orang larang laku akibat rusa ganggu fungsi jalan 2 orang larang laku akibat ganggu fungsi lengkap jalan maksud pasal 25 ayat 1 dana preservasi jalan
Pasal 29,1 dukung layan lalu-lintas angkut jalan aman selamat tertib lancar kondisi jalan tahan 2 tahan kondisi jalan maksud ayat 1 dana preservasi jalan 3 dana preservasi jalan khusus giat pelihara rehabilitasi rekonstruksi jalan 4 dana preservasi jalan sumber jalan kelola sesuai atur undang
Pasal 30,kelola dana preservasi jalan laksana dasar prinsip akuntabilitas transparansi imbang sesuai
Pasal 31,dana preservasi jalan kelola unit kelola dana preservasi jalan tanggung menteri bidang jalan
Pasal 32,kena organisasi tata kerja unit kelola dana preservasi jalan atur atur presiden terminal paragraf 1
Pasal 33,1 tunjang lancar pindah orang barang padu intramoda antarmoda bangun selenggara terminal 2 terminal maksud ayat 1 upa terminal tumpang terminal barang
Pasal 34,1 terminal tumpang maksud pasal 33 ayat 2 layan kelompok tipe a tipe b tipe c 2 tipe maksud ayat 1 kelas dasar intensitas kendara layan
Pasal 35,badan usaha milik negara badan usaha milik daerah swasta bangun terminal barang sesuai atur undang
Pasal 36,kendara motor trayek wajib singgah terminal kecuali izin trayek paragraf 2 lokasi terminal
Pasal 37,1 lokasi terminal laku perhati rencana butuh terminal rupa rencana induk jaring lalu-lintas angkut jalan 2 lokasi terminal laku perhati a tingkat aksesibilitas jasa angkut b sesuai lahan rencana tata ruang wilayah nasional rencana tata ruang wilayah provinsi rencana tata ruang wilayah kabupaten kota c sesuai rencana kembang kerja jaring jalan jaring trayek jaring lintas d sesuai rencana kembang pusat giat e serasi imbang giat f angkut g layak teknis finansial ekonomi h aman selamat lalu-lintas angkut jalan i lestari lingkung hidup paragraf 3 fasilitas terminal
Pasal 38,1 selenggara terminal wajib sedia fasilitas terminal penuh syarat selamat aman 2 fasilitas terminal maksud ayat 1 liput fasilitas utama fasilitas tunjang 3 jaga kondisi fasilitas terminal maksud ayat 2 selenggara terminal wajib laku pelihara paragraf 4 lingkung kerja terminal
Pasal 39,1 lingkung kerja terminal rupa daerah fasilitas terminal 2 lingkung kerja terminal maksud ayat 1 kelola selenggara terminal laksana bangun kembang operasi fasilitas terminal 3 lingkung kerja terminal maksud ayat 1 atur daerah kabupaten kota khusus provinsi daerah khusus ibukota jakarta atur daerah provinsi paragraf 5
Pasal 40,1 bangun terminal lengkap a rancang bangun b buku kerja rancang bangun c rencana induk terminal d analisis dampak lalu-lintas e analisis kena dampak lingkung 2 operasi terminal liput giat a rencana b laksana c awas operasional terminal
Pasal 41,1 selenggara terminal wajib layan jasa terminal sesuai standar layan 2 layan jasa terminal maksud ayat 1 kena retribusi laksana sesuai atur undang paragraf 6 atur
Pasal 42,kena fungsi klasifikasi tipe lokasi fasilitas lingkung kerja bangun operasi terminal atur atur perintah fasilitas parkir
Pasal 43,1 sedia fasilitas parkir selenggara ruang milik jalan sesuai izin 2 selenggara fasilitas parkir ruang milik jalan maksud ayat 1 laku orang warga negara indonesia badan hukum indonesia upa a usaha khusus parkir b tunjang usaha pokok 3 fasilitas parkir ruang milik jalan selenggara jalan kabupaten jalan desa jalan kota nyata rambu lalu-lintas marka jalan 4 kena jasa fasilitas parkir izin syarat tata selenggara fasilitas parkir atur atur perintah
Pasal 44,lokasi bangun fasilitas parkir laku perintah daerah perhati a rencana tata ruang b analisis dampak lalu-lintas c mudah jasa enam fasilitas dukung
Pasal 45,1 fasilitas dukung selenggara lalu-lintas angkut jalan liput a trotoar b lajur sepeda c seberang pejal kaki d halte e fasilitas khusus sandang cacat manusia usia 2 sedia fasilitas dukung maksud ayat 1 selenggara a perintah jalan nasional b perintah provinsi jalan provinsi c perintah kabupaten jalan kabupaten jalan desa d perintah kota jalan kota e badan usaha jalan tol jalan tol
Pasal 46,1 perintah laksana bangun kelola pelihara fasilitas dukung lalu-lintas angkut jalan maksud pasal 45 ayat 2 kerja swasta 2 kena bangun kelola pelihara spesifikasi teknis fasilitas dukung lalu-lintas angkut jalan atur atur perintah
Pasal 47,1 kendara a kendara motor b kendara motor 2 kendara motor maksud ayat 1 huruf a kelompok dasar jenis a sepeda motor b mobil tumpang c mobil bus d mobil barang e kendara khusus 3 kendara motor maksud ayat 2 huruf b huruf c huruf d kelompok dasar fungsi a kendara motor orang b kendara motor 4 kendara motor maksud ayat 1 huruf b kelompok a kendara gerak tenaga orang b kendara gerak tenaga hewan
Pasal 48,1 kendara motor operasi jalan penuh syarat teknis laik jalan 2 syarat teknis maksud ayat 1 a susun b lengkap c ukur d karoseri e rancang teknis kendara sesuai f muat g h gandeng kendara motor i tempel kendara motor 3 syarat laik jalan maksud ayat 1 kerja minimal kendara motor ukur sekurang- a emisi gas buang b bising suara c efisiensi sistem rem utama d efisiensi sistem rem parkir e kincup roda f suara klakson g daya pancar arah sinar lampu utama h radius putar i akurasi alat cepat j sesuai kerja roda kondisi ban k sesuai daya mesin gerak hadap berat kendara 4 kena syarat teknis laik jalan maksud ayat 2 ayat 3 atur atur perintah uji kendara motor
Pasal 49,1 kendara motor kereta gandeng kereta tempel impor rakit negeri operasi jalan wajib laku uji 2 uji maksud ayat 1 liput a uji tipe b uji
Pasal 50,1 uji tipe maksud pasal 49 ayat 2 huruf a wajib laku kendara motor kereta gandeng kereta tempel impor rakit negeri modifikasi kendara motor ubah tipe 2 uji tipe maksud ayat 1 a uji fisik penuh syarat teknis laik jalan laku hadap landas kendara motor kendara motor lengkap b teliti rancang bangun rekayasa kendara motor laku hadap rumah bak muat kereta gandeng kereta tempel kendara motor modifikasi tipe 3 uji tipe maksud ayat 1 laksana unit laksana uji tipe perintah 4 kena uji tipe unit laksana maksud ayat 1 ayat 3 atur atur perintah
Pasal 51,1 landas kendara motor kendara motor lengkap lulus uji tipe sertifikat lulus uji tipe 2 rumah bak muat kereta gandeng kereta tempel modifikasi tipe kendara motor lulus uji tipe terbit surat putus kesah rancang bangun rekayasa 3 tanggung rakit impor landas kendara motor kendara motor lengkap rumah bak muat kereta gandeng kereta tempel kendara motor modifikasi registrasi tipe produksi 4 bukti laku registrasi tipe produksi maksud ayat 3 tanda bukti sertifikat registrasi uji tipe 5 jamin sesuai spesifikasi teknik seri produksi hadap sertifikat uji tipe laku uji sampel unit laksana uji tipe perintah 6 kena modifikasi uji tipe atur atur perintah
Pasal 52,1 modifikasi kendara motor maksud pasal 50 ayat 1 upa modifikasi dimensi mesin daya angkut 2 modifikasi kendara motor maksud ayat 1 bahaya selamat berlalu-lintas ganggu arus lalu-lintas rusak lapis keras daya dukung jalan 3 kendara motor modifikasi ubah syarat konstruksi material wajib laku uji tipe ulang 4 kendara motor uji tipe ulang maksud ayat 3 laku registrasi identifikasi ulang
Pasal 53,1 uji maksud pasal 49 ayat 2 huruf b wajib mobil tumpang mobil bus mobil barang kereta gandeng kereta tempel operasi jalan 2 uji maksud ayat 1 liput giat a periksa uji fisik kendara motor b kesah hasil uji 3 giat periksa uji fisik kendara motor maksud ayat 2 huruf a laksana a unit laksana uji perintah kabupaten kota b unit laksana agen tunggal pegang merek izin perintah c unit laksana uji swasta izin perintah
Pasal 54,1 periksa uji fisik mobil tumpang mobil bus mobil barang kendara khusus kereta gandeng kereta tempel maksud pasal 53 ayat 2 huruf a liput uji hadap syarat teknis laik jalan 2 uji hadap syarat teknis maksud ayat 1 liput a susun b lengkap c ukur d karoseri e rancang teknis kendara motor sesuai 3 uji hadap syarat laik jalan maksud ayat 1 liput a emisi gas buang kendara motor b tingkat bising c rem utama d rem parkir e kincup roda f pancar arah sinar lampu utama g akurasi alat cepat h alur ban 4 uji hadap syarat laik jalan kereta gandeng kereta tempel liput uji rem alur ban uji sistem lampu 5 bukti lulus uji hasil periksa uji fisik maksud ayat 1 upa kartu uji tanda uji 6 kartu uji maksud ayat 5 muat terang identifikasi kendara motor identitas milik spesifikasi teknis hasil uji laku hasil uji 7 tanda uji maksud ayat 5 muat terang identifikasi kendara motor laku hasil uji
Pasal 55,1 kesah hasil uji maksud pasal 53 ayat 2 huruf b a tugas milik kompetensi menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan usul gubernur uji laku unit laksana uji perintah kabupaten kota b tugas swasta milik kompetensi menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan uji laku unit laksana uji agen tunggal pegang merek unit laksana uji swasta 2 kompetensi tugas maksud ayat 1 bukti sertifikat tanda lulus didik latih
Pasal 56,kena uji maksud pasal 53 pasal 54 pasal 55 atur atur perintah lengkap kendara motor
Pasal 57,1 kendara motor operasi jalan wajib lengkap lengkap kendara motor 2 lengkap maksud ayat 1 sepeda motor upa helm standar nasional indonesia 3 lengkap maksud ayat 1 kendara motor roda a sabuk selamat b ban cadang c segitiga kam d dongkrak e buka roda f helm rompi pantul cahaya kemudi kendara motor roda milik rumah g alat tolong celaka lalu-lintas 4 kena lengkap kendara motor maksud ayat 1 ayat 2 ayat 3 atur atur perintah
Pasal 58,kendara motor operasi jalan larang pasang lengkap ganggu selamat berlalu-lintas
Pasal 59,1 kendara motor lengkap lampu isyarat sirene 2 lampu isyarat maksud ayat 1 warna a merah b biru c kuning 3 lampu isyarat warna merah biru maksud ayat 2 huruf a huruf b sirene maksud ayat 1 fungsi tanda kendara motor milik hak utama 4 lampu isyarat warna kuning maksud ayat 2 huruf c fungsi tanda jalan 5 lampu isyarat sirene maksud ayat 1 ayat 2 a lampu isyarat warna biru sirene kendara motor tugas polisi negara republik indonesia b lampu isyarat warna merah sirene kendara motor tahan tentara nasional indonesia madam bakar ambulans palang merah rescue jenazah c lampu isyarat warna kuning sirene kendara motor patroli jalan tol awas sarana prasarana lalu-lintas angkut jalan awat bersih fasilitas derek kendara angkut barang khusus 6 kena syarat prosedur tata pasang lampu isyarat sirene maksud ayat 1 atur atur perintah 7 kena tata lampu isyarat sirene maksud ayat 1 atur atur kepala polisi negara republik indonesia
Pasal 60,1 bengkel kendara motor fungsi rawat kendara motor wajib penuh syarat teknis laik jalan 2 bengkel akreditasi kualitas laku uji kendara motor 3 selenggara bengkel maksud ayat 1 penuh syarat menteri tanggung bidang industri 4 selenggara bengkel maksud ayat 2 izin perintah kabupaten kota dasar rekomendasi polisi negara republik indonesia 5 awas hadap bengkel kendara motor maksud ayat 1 laksana perintah kabupaten kota 6 kena syarat tata selenggara bengkel atur atur perintah enam kendara motor
Pasal 61,1 kendara motor operasi jalan wajib penuh syarat selamat liput a syarat teknis b syarat tata muat barang 2 syarat teknis maksud ayat 1 huruf a sekurang- liput a konstruksi b sistem kemudi c sistem roda d sistem rem e lampu pantul cahaya f alat bunyi 3 syarat tata muat barang maksud ayat 1 huruf b liput dimensi berat 4 kena syarat selamat maksud ayat 1 atur atur perintah
Pasal 62,1 perintah mudah berlalu-lintas sepeda 2 sepeda hak fasilitas dukung aman selamat tertib lancar berlalu-lintas
Pasal 63,1 perintah daerah jenis kendara motor daerah sesuai karakteristik butuh daerah 2 kena jenis kendara motor maksud ayat 1 atur atur daerah kabupaten kota 3 kena jenis kendara motor maksud ayat 1 sifat lintas kabupaten kota atur atur daerah provinsi tujuh
Pasal 64,1 kendara motor wajib registrasi 2 registrasi maksud ayat 1 liput a registrasi kendara motor b registrasi ubah identitas kendara motor milik c registrasi kendara motor d registrasi kesah kendara motor 3 registrasi kendara motor maksud ayat 1 tuju a tertib administrasi b kendali awas kendara motor operasi indonesia c mudah sidi langgar jahat d rencana operasional manajemen rekayasa lalu-lintas angkut jalan e rencana bangun nasional 4 registrasi kendara motor laksana polisi negara republik indonesia sistem manajemen registrasi kendara motor 5 data registrasi identifikasi kendara motor rupa sistem informasi komunikasi lalu-lintas angkut jalan forensik polisi 6 kena registrasi maksud ayat 2 atur atur kepala polisi negara republik indonesia
Pasal 65,1 registrasi kendara motor maksud pasal 64 ayat 2 huruf a liput giat a registrasi identifikasi kendara motor milik b terbit buku milik kendara motor c terbit surat tanda nomor kendara motor tanda nomor kendara motor 2 bukti kendara motor registrasi milik buku milik kendara motor surat tanda nomor kendara motor tanda nomor kendara motor
