Pertanyaan,Jawaban
ketertiban kelancaran linta angkutan jalan a memberhentikan aru linta danatau pengguna jalan b memerintahkan pengguna jalan jalan c mempercepat aru linta d memperlambat aru linta danatau e mengalihkan arah aru linta pengguna jalan wajib mematuhi perintah petuga kepolisian negara republik indonesia,ya
orang jalan wajib a berperilaku tertib danatau b mencegah halhal merintangi orang mengemudikan kendaraan bermotor jalan wajib mematuhi ketentuan,a rambu perintah rambu larangan b marka jalan c alat pemberi isyarat linta d gerakan linta e berhenti parkir f peringatan bunyi sinar g kecepatan maksim minim danatau h tata penggandengan penempelan kendaraan
polisi razia kendaraan bermotor diadakan pemeriksaan kendaraan bermotor jalan,a surat tanda nomor kendaraan bermotor surat tanda coba kendaraan bermotor b surat izin mengemudi c bukti lulu uji berkala danatau d tanda bukti sah
melaksanakan ketertiban keselamatan berkendaraan bermotor diatur sebutkan wajib dilaksanakan pengemudi sepeda motor,mengenakan helm memenuhi standar nasion indonesia menyalakan lampu utama siang
linta pengguna jalan jalur jalan sebelah kiri penggunaan jalur jalan sebelah kanan kondisi,1 pengemudi melewati kendaraan depannya 2 diperintahkan petuga kepolisian negara republik indonesia jalur kiri
perlintasan sebidang jalur kereta api jalan sebutkan kewajiban pengemudi,a berhenti sinyal berbunyi palang pintu kereta api ditutup isyarat b mendahulukan kereta api c hak utama kendaraan melintasi rel
pengemudi kendaraan bermotor jalan dilarang halhal ditetapkan undangundang linta angkutan jalan sebutkan haapa sajal dilarang terkait kecepatan kendaraan bermotor,a mengemudikan kendaraan melebihi bata kecepatan diperbolehkan danatau b berbalapan kendaraan bermotor
pengemudi memperlambat kendaraannya sesuai rambu linta berdasarkan rambu linta,1 melewati kendaraan bermotor menurunkan menaikkan penumpang 2 melewati kendaraan bermotor ditarik hewan hewan ditunggangi hewan digir 3 cuaca hujan danatau genangan air 4 memasuki pusat kegiatan masyarakat dinyatakan rambu linta 5 mendekati persimpangan perlintasan sebidang kereta api danatau 6 pejalan kaki menyeberang
parkir kendaraan pengemudi memarkirkan kendaraan sesuai aturan perparkiran sebutkan memarkir kendaraan jalan,parkir kendaraan jalan sejajar membentuk sudut arah linta
darurat jalan pengemudi kendaraan bermotor kewajiban memarkir kendaraannya kewajiban sajakah pengemudijika berhenti darurat,wajib memasang segitiga pengaman
pengemudi kendaraan bermotor angkutan orang trayek wajib 1 mengangkut penumpang membayar sesuai tarif ditetapkan 2 memindahkan penumpang perjalanan kendaraan sejeni trayek dipungut biaya tambahan kendaraan mogok rusak kecelakaan perintah petuga 3 lajur jalan ditentukan lajur kiri kecuali mendahului mengubah arah 4 memberhentikan kendaraan menaikkan danatau menurunkan penumpang 5 menutup pintu kendaraan berjalan 6 mematuhi bata kecepatan angkutan larangan wajib dipatuhi pengemudi kendaraan bermotor angkutan orang,a memberhentikan kendaraan ditentukan b mengetem ditentukan c menurunkan penumpang pemberhentian danatau tujuan alasan patut mendesak danatau d melewati jaringan jalan ditentukan izin trayek
uulaj mengatur hak kewajiban pejalan kaki pejalan kaki berhak ketersediaan fasilita pendukung linta sebutkan hak disediakan pejalan kaki,trotoar
pengguna jalan memperoleh hak utama didahulukan sesuai urutan a kendaraan pemadam kebakaran melaksanakan tuga b ambulan mengangkut orang sakit c kendaraan pertolongan kecelakaan linta d kendaraan pimpinan lembaga negara republik indonesia e kendaraan pimpinan pejabat negara ase lembaga internasion tamu negara 2 pengguna jalan berhak memperoleh hak didahulukan sebutkan,a iringiringan pengantar jenazah b konvoi danatau kendaraan kepentingan pertimbangan petuga kepolisian negara republik indonesia
angkutan diselenggarakan upaya memenuhi kebutuhan angkutan selamat bertanggung penyelenggaraan angkutan selamat,pemerintah
pemerintah wajib menjamin tersedianya angkutan jasa angkutan orang danatau barang antarkota antarprovinsi linta bata negara melaksanakan penyediaan jasa angkutan,badan usaha milik negara
pelayanan angkutan orang kendaraan bermotor a angkutan orang kendaraan bermotor trayek b angkutan orang kendaraan bermotor trayek “ trayek ”,“ trayek ” lintasan kendaraan bermotor pelayanan jasa angkutan
perusahaan angkutan wajib memenuhi standar pelayanan minim ditetapkan berdasarkan jeni pelayanan sebutkan 6 enam standar pelayanan,a keamanan b keselamatan c kenyamanan d keterjangkauan e kesetaraan f keteraturan
angkutan orang kendaraan bermotor trayek jeni sebutkan jeni pelayanan,a angkutan linta bata negara b angkutan antarkota antarprovinsi c angkutan antarkota provinsi d angkutan perkptaan angkutan perdesaan
jaringan trayek kebutuhan kendaraan bermotor disusun bentuk rencana jaringan trayek jaringan trayek kebutuhan kendaraan bermotor disusun berdasarkan kriteria,a tata ruang wilayah b tingkat permintaan jasa angkutan c kemampuan penyediaan jasa angkutan d ketersediaan jaringan lalulinta angkutan jalan e kesesuaian kela jalan f keterpaduan intramoda angkutan g keterpaduan antarmoda angkutan
penyusunan rencana jaringan trayek terkoordinasi instansi terkait rencana jaringan trayek dikaji ulang berkala,rencana jaringan trayek dikaji ulang berkala 5
jaringan trayek perkotaan disusun berdasarkan kawasan perkotaan menetapkan kawasan perkotaan pelayanan angkutan melampaui bata wilayah kabupatenkota provinsi,gubernur kawasan perkotaan melampaui bata wilayah kabupatenkota provinsi
pelayanan angkutan orang kendaraan bermotor trayek sebutkan pelayanan angkutan orang,a angkutan orang taksi b angkutan orang tujuan c angkutan orang keperluan pariwisata d angkutan orang kawasan
pemerintah menjamin ketersediaan angkutan massal berbasi jalan memenuhi kebutuhan angkutan orang kendaraan bermotor kawasan perkotaan sebutkan 4 mendukung angkutan massal berbasi jalan memenuhi kebutuhan angkutan orang kendaraan bermotor kawasan perkotaan,angkutan massal didukung 1 mobil bu berkapasita angkut massal 2 lajur khusu 3 trayek angkutan berimpitan trayek angkutan massal 4 angkutan pengumpan
angkutan barang kendaraan bermotor a angkutan b angkutan barang khusu pengangkutan barang memenuhi 3 persyaratan,a prasarana jalan memenuhi ketentuan kela jalan b tersedia pusat distribusi logistik danatau memuat membongkar barang c mobil barang
angkutan orang kendaraan bermotor melayani trayek linta bata negara meliputi dokumen angkutan orang,a tiket penumpang angkutan trayek b tanda pengen bagasi c manif
angkutan barang kendaraan bermotor wajib dilengkapi dokumen meliputi dokumen angkutan barang kendaraan bermotor dilengkapi,a surat perjanjian pengangkutan b surat muatan barang
perusahaan angkutan orang wajib a menyerahkan tiket penumpang b menyerahkan tanda bukti pembayaran pengangkutan angkutan trayek 2 persyaratan,a menyerahkan tanda pengen bagasi penumpang b menyerahkan manif pengemudi
pengemudi danatau perusahaan angkutan barang wajib mematuhi ketentuan tata pemuatan mengawasi pemenuhan ketentuan pengawasan muatan angkutan barang,pengawasan muatan angkutan barang alat penimbangan
pengawasan muatan angkutan barang alat penimbangan sajakah alat penimbangan,a alat penimbangan dipasang b alat penimbangan dipindahkan
alat penimbangan alat pengawasan muatan angkutan barang penetapan lokasi pengoperasian penutupan alat penimbangan dipasang jalan,pemerintah
pengoperasian perawatan alat penimbangan dipasang unit pelaksana penimbangan pemerintah wajib didata petuga alat penimbangan dipasang,wajib didata jeni barang diangkut
perusahaan angkutan menyelenggarakan angkutan orang danatau barang wajib memiliki izin izin wajib dimiliki perusahaan angkutan menyelenggarakan angkutan orang danatau barang,a izin penyelenggaraan angkutan orang trayek b izin penyelenggaraan angkutan orang trayek danatau c izin penyelenggaraan angkutan barang khusu alat berat
perusahaan angkutan wajib mengangkut orang danatau barang disepakati perjanjian angkutan danatau pembayaran biaya angkutan penumpang danatau pengirim barang kewajiban dibebankan perusahaan angkutan pembatalan pemberangkatan,perusahaan angkutan wajib mengembalikan biaya angkutan dibayar penumpang danatau pengirim barang pembatalan pemberangkatan
perusahaan angkutan bertanggung kerugian diderita penumpang meningg dunia luka akibat penyelenggaraan angkutan pernyataan dikecualikan,kecuali disebabkan kejadian dicegah dihindari kesalahan penumpang
perusahaan angkutan bertanggung kerugian diderita penumpang meningg dunia luka akibat penyelenggaraan angkutan kerugian diderita penumpang meningg dunia luka akibat penyelenggaraan angkutan dihitung berdasarkan,berdasarkan kerugian nyatanyata dialami biaya pelayanan
perusahaan angkutan bertanggung kerugian diderita penumpang meningg dunia luka akibat penyelenggaraan angkutan tanggung perusahaan angkutan,tanggung perusahaan angkutan penumpang diangkut tujuan disepakati
tindak pidana linta perusahaan angkutan pidana tambahan,pembekuan pencabutan izin penyelenggaraan angkutan kendaraan
pengangkut bertanggung kerugian barang bawaan penumpang pernyataan dikecualikan,pengangkut bertanggung kerugian barang bawaan penumpang
perusahaan angkutan bertanggung kerugian diderita pengirim barang barang musnah tanggung perusahaan angkutan,tanggung perusahaan angkutan barang diangkut barang diserahkan tujuan disepakati
perusahaan angkutan bertanggung kerugian diderita ketiga selambatlambatnya hak mengajukan keberatan permintaan ganti kerugian ketiga perusahaan angkutan,selambatlambatnya 30 puluh terhitung tanggal kerugian
pemilik danatau pengemudi kendaraan bermotor perusahaan angkutan wajib mencegah pencemaran udara kebisingan pelanggaran ketentuan dampak lingkungan linta angkutan jalan dikenai sanksi administratif sanksi administratif,a peringatan tertuli b denda administratif c pembekuan izin d pencabutan izin
kecelakaan lalulinta digolongkan a kecelakaan lalulinta ringan b kecelakaan lalulinta c kecelakaan lalulinta berat kecelakaan lalulinta ringan,kecelakaan lalulinta ringan kecelakaan mengakibatkan kerusakan kendaraan danatau barang
kecelakaan lalulinta digolongkan a kecelakaan lalulinta ringan b kecelakaan lalulinta c kecelakaan lalulinta berat kecelakaan lalulinta,kecelakaan lalulinta kecelakaan mengakibatkan luka ringan kerusakan kendaraan danatau barang
kecelakaan lalulinta digolongkan a kecelakaan lalulinta ringan b kecelakaan lalulinta c kecelakaan lalulinta berat kecelakaan lalulinta berat,kecelakaan lalulinta berat kecelakaan mengakibatkan korban meningg dunia luka berat
pengemudi,a memaksa dielakkan kemampuan pengemudi b disebabkan perilaku korban ketiga danatau c disebabkan gerakan orang danatau hewan diambil tindakan pencegahan
korban meningg dunia akibat kecelakaan lalulinta bantuan ahli wari korban,biaya pengobatan danatau biaya pemakaman menggugurkan tuntutan perkara pidana
cedera badan kesehatan korban akibat kecelakaan lalulinta berat bantuan korban,biaya pengobatan menggugurkan tuntutan perkara pidana
menyebabkan kecelakaan lalulinta wajib mengganti kerugian besarannya ditentukan berdasarkan putusan pengadilan kewajiban mengganti kerugian sidang pengadilan,kewajiban mengganti kerugian sidang pengadilan
korban kecelakaan lalulinta berhak pertolongan perawatan bertanggung kecelakaan lalulinta danatau pemerintah 2 hak korban kecelakaan lalulinta,a ganti kerugian bertanggung kecelakaan lalulinta b santunan kecelakaan lalulinta perusahaan asuransi
pemerintah perlakuan khusu meliputi,a aksesibilita b priorita pelayanan c fasilita pelayanan
perusahaan angkutan memenuhi kewajiban menyediakan sarana prasarana pelayanan penyandang cacat sanksi administratifnya,a peringatan tertuli b denda administratif c pembekuan izin danatau d pencabutan izin
pelanggaran bidang lalulinta angkutan jalan diperiksa acara pemeriksaan cepat dikenai pidana denda berdasarkan penetapan pengadilan pelanggar hadir menitipkan denda kemana denda dititipkan,bank pemerintah
bukti penitipan uang denda wajib dilampirkan berka bukti pelanggaran denda dititipkan bank pemerintah,denda dititipkan bank pemerintah denda maksim dikenakan pelanggaran lalulinta angkutan jalan
putusan pengadilan menetapkan pidana denda uang denda dititipkan akibatnya sisa uang denda diambil 1 penetapan putusan pengadilan,disetorkan ka negara
uang denda ditetapkan pengadilan disetorkan ka negara penerimaan negara pajak dialokasikan penerimaan negara pajak,dialokasikan insentif petuga kepolisian negara republik indonesia penyidik pegawai negeri sipil melaksanakan penegakan hukum jalan pelaksanaannya sesuai ketentuan peraturan perundangundangan
penyelenggara jalan patut memperbaiki jalan rusak mengakibatkan kecelakaan lalulinta menimbulkan korban luka ringan danatau kerusakan kendaraan danatau barang ancaman pidananya,dipidana penjara 6 enam denda rp 12000000
penyelenggara jalan patut memperbaiki jalan rusak mengakibatkan kecelakaan lalulinta mengakibatkan luka berat sebutkan ancaman pidananya,pidana penjara 1 denda rp 24000000
penyelenggara jalan patut memperbaiki jalan rusak mengakibatkan kecelakaan lalulinta mengakibatkan orang meningg dunia ancaman pidananya,pelaku dipidana pidana penjara 5 denda rp 120000000
penyelenggara jalan tanda rambu jalan rusak diperbaiki ancaman pidananya,dipidana pidana penjara 6 enam denda rp 1500000
orang perbuatan mengakibatkan kerusakan danatau gangguan fungsi jalan fungsi perlengkapan jalan ancaman pidananya,dipidana pidana penjara 1 denda rp 24000000
orang perbuatan mengakibatkan gangguan fungsi rambu lalulinta ancaman pidananya,dipidana pidana kurungan 1 denda rp 250000
orang merusak rambu lalulinta ancaman pidananya,dipidana pidana penjara 2 denda rp 50000000
orang mengemudikan kendaraan bermotor trayek singgah termin sebutkan ancaman pidananya,dipidana pidana kurungan 1 denda rp 250000
orang memasukkan kendaraan bermotor ancaman pidananya,dipidana pidana penjara 1 denda rp 24000000
orang mengemudikan kendaraan bermotor beroda jalan dilengkapi perlengkapan ban cadangan dongkrak ancaman pidananya,dipidana kurungan 1 denda rp 250000
orang mengemudikan kendaraan bermotor jalan dipasangi perlengkapan mengganggu keselamatan berlalulinta diancam pidana ancaman pidananya,dipidana pidana kurungan 2 denda rp 500000
orang mengemudikan kendaraan bermotor jalan dipasangi tanda nomor kendaraan bermotor ditetapkan kepolisian negara republik indonesia ancaman pidananya,dipidana pidana kurungan 2 denda rp 500000
orang mengemudikan kendaraan bermotor jalan memiliki surat izin mengemudi ancaman pidananya,dipidana pidana kurungan 4 denda rp 1000000
pengguna jalan mematuhi perintah petuga kepolisian negara republik indonesia ancaman pidananya,dipidana pidana kurungan 1 denda rp 250000
fulan menyetir mobil kegiatan menelepon temannya sebutkan ancaman pidananya,dipidana pidana kurungan 3 denda rp750000
orang mengemudikan kendaraan bermotor mengutamakan keselamatan pejalan kaki pesepeda sebutkan ancaman pidananya,dipidana pidana kurungan 2 denda rp500000
orang mengemudikan sepeda motor jalan memenuhi persyaratan tekni laik jalan meliputi kaca spion ancaman pidananya,dipidana pidana kurungan 1 denda rp250000
orang mengemudikan kendaraan bermotor beroda jalan memenuhi persyaratan tekni meliputi kaca spion ancaman pidananya,dipidana pidana kurungan 2 denda rp500000
